,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,School ID,Private School Name,Private Low Grade,Private High Grade,Private Address,PSS_COUNTY_NO
58,VA-101-1010190,5100120.0,VA-101,PK,5,William Ramsay Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,5700 Sanger Ave,Alexandria,,,,,,
59,VA-029-0290380,5101260.0,VA-029,PK,6,Woodlawn Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8505 Highland Ln,Alexandria,,,,,,
60,VA-029-0290590,5101260.0,VA-029,PK,6,Woodley Hills Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8718 Old Mt Vernon Rd,Alexandria,,,,,,
61,,,,,,,,,,ALEXANDRIA,A9304116,ALEXANDRIA COUNTRY DAY SCHOOL,3.0,13.0,2400 RUSSELL RD,51510.0
62,,,,,,,,,,ALEXANDRIA,1432368,BISHOP IRETON HIGH SCHOOL,14.0,17.0,201 CAMBRIDGE RD,51510.0
63,,,,,,,,,,ALEXANDRIA,1636066,BLESSED SACRAMENT SCHOOL & EARLY CHILDHOOD CTR,2.0,13.0,1417 W BRADDOCK RD,51510.0
64,,,,,,,,,,ALEXANDRIA,A0971723,BRENTWOOD ACADEMY,2.0,7.0,3725 NALLS RD,51059.0
65,,,,,,,,,,ALEXANDRIA,1433689,BROWNE ACADEMY,2.0,13.0,5917 TELEGRAPH RD,51059.0
66,,,,,,,,,,ALEXANDRIA,1433601,BURGUNDY FARM COUNTRY DAY SCHOOL,2.0,13.0,3700 BURGUNDY RD,51059.0
67,,,,,,,,,,ALEXANDRIA,2065361,CALVARY ROAD CHRISTIAN SCHOOL,2.0,11.0,6811 BEULAH ST,51059.0
68,,,,,,,,,,ALEXANDRIA,A0303208,COMMONWEALTH ACADEMY,8.0,17.0,1321 LESLIE AVE,51510.0
69,,,,,,,,,,ALEXANDRIA,1432845,ENGLESIDE CHRISTIAN SCHOOL,2.0,11.0,8428 HIGHLAND LN,51059.0
70,,,,,,,,,,ALEXANDRIA,1433226,EPISCOPAL HIGH SCHOOL,14.0,17.0,1200 N QUAKER LN,51510.0
71,,,,,,,,,,ALEXANDRIA,1432506,GRACE EPISCOPAL SCHOOL,2.0,10.0,3601 RUSSELL RD,51510.0
72,,,,,,,,,,ALEXANDRIA,A9301005,IMMANUEL LUTHERAN SCHOOL,2.0,13.0,109 BELLAIRE RD,51510.0
73,,,,,,,,,,ALEXANDRIA,A0508287,LITTLE ACORN PATCH AT KINGSTOWNE,2.0,3.0,5801 CASTLEWELLAN DR,51059.0
74,,,,,,,,,,ALEXANDRIA,1434059,MONTESSORI SCHOOL OF ALEXANDRIA,2.0,9.0,6300 FLORENCE LN,51059.0
75,,,,,,,,,,ALEXANDRIA,A0702374,POTOMAC CRESCENT WALDORF SCHOOL,2.0,10.0,3846 KING ST,51013.0
76,,,,,,,,,,ALEXANDRIA,1432357,QUEEN OF APOSTLES CATHOLIC SCHOOL,3.0,13.0,4409 SANO ST,51059.0
